0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:31 +0530] "GET /consume-rest/Images/marker.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:38 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 4740
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:38 +0530] "GET /consume-rest/Images/Electronics.jpg HTTP/1.1" 200 9600
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:38 +0530] "GET /consume-rest/Images/Books.jpg HTTP/1.1" 200 28194
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:38 +0530] "GET /consume-rest/Images/pen.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:38 +0530] "GET /consume-rest/Images/ballpen.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:38 +0530] "GET /consume-rest/Images/Shoes.jpg HTTP/1.1" 200 49371
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:38 +0530] "GET /consume-rest/Images/mobile.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:38 +0530] "GET /consume-rest/Images/marker.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:38 +0530] "GET /consume-rest/Images/camera.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:39 +0530] "GET /consume-rest/Images/mobile.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:39 +0530] "GET /consume-rest/Images/marker.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:39 +0530] "GET /favicon.ico HTTP/1.1" 404 763
